Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
MODULE                                                                  TYPE                  SHAPE
unet.u_blocks.0.resblocks.1                                             ResBlock              (2, 64, 8, 8)
unet.u_blocks.0.resblocks.2.proj                                        Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.2.norm1.linear                                Linear                (2, 256)
unet.u_blocks.0.resblocks.2.norm1                                       AdaGroupNorm          (2, 128, 8, 8)
unet.u_blocks.0.resblocks.2.conv1                                       Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.2.norm2.linear                                Linear                (2, 128)
unet.u_blocks.0.resblocks.2.norm2                                       AdaGroupNorm          (2, 64, 8, 8)
unet.u_blocks.0.resblocks.2.conv2                                       Conv2d                (2, 64, 8, 8)
unet.u_blocks.0.resblocks.2.attn                                        Identity              (2, 64, 8, 8)
unet.u_blocks.0.resblocks.2                                             ResBlock              (2, 64, 8, 8)
unet.u_blocks.0[0]                                                      ResBlocks             (2, 64, 8, 8)
unet.u_blocks.0[1][0]                                                   ResBlocks             (2, 64, 8, 8)
unet.u_blocks.0[1][1]                                                   ResBlocks             (2, 64, 8, 8)
unet.u_blocks.0[1][2]                                                   ResBlocks             (2, 64, 8, 8)
unet.upsamples.1.conv                                                   Conv2d                (2, 64, 16, 16)
unet.upsamples.1                                                        Upsample              (2, 64, 16, 16)
unet.u_blocks.1.resblocks.0.proj                                        Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.0.norm1.linear                                Linear                (2, 256)
unet.u_blocks.1.resblocks.0.norm1                                       AdaGroupNorm          (2, 128, 16, 16)
unet.u_blocks.1.resblocks.0.conv1                                       Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.u_blocks.1.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 16, 16)
unet.u_blocks.1.resblocks.0.conv2                                       Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.0.attn                                        Identity              (2, 64, 16, 16)
unet.u_blocks.1.resblocks.0                                             ResBlock              (2, 64, 16, 16)
unet.u_blocks.1.resblocks.1.proj                                        Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.1.norm1.linear                                Linear                (2, 256)
unet.u_blocks.1.resblocks.1.norm1                                       AdaGroupNorm          (2, 128, 16, 16)
unet.u_blocks.1.resblocks.1.conv1                                       Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.u_blocks.1.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 16, 16)
unet.u_blocks.1.resblocks.1.conv2                                       Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.1.attn                                        Identity              (2, 64, 16, 16)
unet.u_blocks.1.resblocks.1                                             ResBlock              (2, 64, 16, 16)
unet.u_blocks.1.resblocks.2.proj                                        Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.2.norm1.linear                                Linear                (2, 256)
unet.u_blocks.1.resblocks.2.norm1                                       AdaGroupNorm          (2, 128, 16, 16)
unet.u_blocks.1.resblocks.2.conv1                                       Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.2.norm2.linear                                Linear                (2, 128)
unet.u_blocks.1.resblocks.2.norm2                                       AdaGroupNorm          (2, 64, 16, 16)
unet.u_blocks.1.resblocks.2.conv2                                       Conv2d                (2, 64, 16, 16)
unet.u_blocks.1.resblocks.2.attn                                        Identity              (2, 64, 16, 16)
unet.u_blocks.1.resblocks.2                                             ResBlock              (2, 64, 16, 16)
unet.u_blocks.1[0]                                                      ResBlocks             (2, 64, 16, 16)
unet.u_blocks.1[1][0]                                                   ResBlocks             (2, 64, 16, 16)
unet.u_blocks.1[1][1]                                                   ResBlocks             (2, 64, 16, 16)
unet.u_blocks.1[1][2]                                                   ResBlocks             (2, 64, 16, 16)
unet.upsamples.2.conv                                                   Conv2d                (2, 64, 32, 32)
unet.upsamples.2                                                        Upsample              (2, 64, 32, 32)
unet.u_blocks.2.resblocks.0.proj                                        Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.0.norm1.linear                                Linear                (2, 256)
unet.u_blocks.2.resblocks.0.norm1                                       AdaGroupNorm          (2, 128, 32, 32)
unet.u_blocks.2.resblocks.0.conv1                                       Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.u_blocks.2.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 32, 32)
unet.u_blocks.2.resblocks.0.conv2                                       Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.0.attn                                        Identity              (2, 64, 32, 32)
unet.u_blocks.2.resblocks.0                                             ResBlock              (2, 64, 32, 32)
unet.u_blocks.2.resblocks.1.proj                                        Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.1.norm1.linear                                Linear                (2, 256)
unet.u_blocks.2.resblocks.1.norm1                                       AdaGroupNorm          (2, 128, 32, 32)
unet.u_blocks.2.resblocks.1.conv1                                       Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.u_blocks.2.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 32, 32)
unet.u_blocks.2.resblocks.1.conv2                                       Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.1.attn                                        Identity              (2, 64, 32, 32)
unet.u_blocks.2.resblocks.1                                             ResBlock              (2, 64, 32, 32)
unet.u_blocks.2.resblocks.2.proj                                        Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.2.norm1.linear                                Linear                (2, 256)
unet.u_blocks.2.resblocks.2.norm1                                       AdaGroupNorm          (2, 128, 32, 32)
unet.u_blocks.2.resblocks.2.conv1                                       Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.2.norm2.linear                                Linear                (2, 128)
unet.u_blocks.2.resblocks.2.norm2                                       AdaGroupNorm          (2, 64, 32, 32)
unet.u_blocks.2.resblocks.2.conv2                                       Conv2d                (2, 64, 32, 32)
unet.u_blocks.2.resblocks.2.attn                                        Identity              (2, 64, 32, 32)
unet.u_blocks.2.resblocks.2                                             ResBlock              (2, 64, 32, 32)
unet.u_blocks.2[0]                                                      ResBlocks             (2, 64, 32, 32)
unet.u_blocks.2[1][0]                                                   ResBlocks             (2, 64, 32, 32)
unet.u_blocks.2[1][1]                                                   ResBlocks             (2, 64, 32, 32)
unet.u_blocks.2[1][2]                                                   ResBlocks             (2, 64, 32, 32)
unet.upsamples.3.conv                                                   Conv2d                (2, 64, 64, 64)
unet.upsamples.3                                                        Upsample              (2, 64, 64, 64)
unet.u_blocks.3.resblocks.0.proj                                        Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.0.norm1.linear                                Linear                (2, 256)
unet.u_blocks.3.resblocks.0.norm1                                       AdaGroupNorm          (2, 128, 64, 64)
unet.u_blocks.3.resblocks.0.conv1                                       Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.0.norm2.linear                                Linear                (2, 128)
unet.u_blocks.3.resblocks.0.norm2                                       AdaGroupNorm          (2, 64, 64, 64)
unet.u_blocks.3.resblocks.0.conv2                                       Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.0.attn                                        Identity              (2, 64, 64, 64)
unet.u_blocks.3.resblocks.0                                             ResBlock              (2, 64, 64, 64)
unet.u_blocks.3.resblocks.1.proj                                        Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.1.norm1.linear                                Linear                (2, 256)
unet.u_blocks.3.resblocks.1.norm1                                       AdaGroupNorm          (2, 128, 64, 64)
unet.u_blocks.3.resblocks.1.conv1                                       Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.1.norm2.linear                                Linear                (2, 128)
unet.u_blocks.3.resblocks.1.norm2                                       AdaGroupNorm          (2, 64, 64, 64)
unet.u_blocks.3.resblocks.1.conv2                                       Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.1.attn                                        Identity              (2, 64, 64, 64)
unet.u_blocks.3.resblocks.1                                             ResBlock              (2, 64, 64, 64)
unet.u_blocks.3.resblocks.2.proj                                        Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.2.norm1.linear                                Linear                (2, 256)
unet.u_blocks.3.resblocks.2.norm1                                       AdaGroupNorm          (2, 128, 64, 64)
unet.u_blocks.3.resblocks.2.conv1                                       Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.2.norm2.linear                                Linear                (2, 128)
unet.u_blocks.3.resblocks.2.norm2                                       AdaGroupNorm          (2, 64, 64, 64)
unet.u_blocks.3.resblocks.2.conv2                                       Conv2d                (2, 64, 64, 64)
unet.u_blocks.3.resblocks.2.attn                                        Identity              (2, 64, 64, 64)
