site,repr,sigma_idx,target,metric,value,alpha
s4_u_stage1,pooled,1,ball_y,r2,0.6479403972625732,0.1
s4_u_stage1,pooled,1,ball_vx,r2,0.07529360055923462,0.01
s4_u_stage1,pooled,1,ball_vy,r2,0.28035932779312134,1.0
s4_u_stage1,pooled,1,left_paddle_y,r2,0.650103747844696,0.1
s4_u_stage1,pooled,1,right_paddle_y,r2,0.3852601647377014,0.01
s4_u_stage1,pooled,1,collision_imminent,auc,0.9459160796409144,0.1
s4_u_stage1,pooled,2,ball_x,r2,0.39874422550201416,0.01
s4_u_stage1,pooled,2,ball_y,r2,0.6792153120040894,0.1
s4_u_stage1,pooled,2,ball_vx,r2,0.08108943700790405,0.01
s4_u_stage1,pooled,2,ball_vy,r2,0.2883267402648926,0.1
s4_u_stage1,pooled,2,left_paddle_y,r2,0.6801457405090332,0.1
s4_u_stage1,pooled,2,right_paddle_y,r2,0.4540059566497803,0.01
s4_u_stage1,pooled,2,collision_imminent,auc,0.9549449410445552,1.0
s5_u_stage3,pooled,0,ball_x,r2,0.09487771987915039,0.01
s5_u_stage3,pooled,0,ball_y,r2,0.06982505321502686,0.01
s5_u_stage3,pooled,0,ball_vx,r2,0.047695040702819824,0.01
s5_u_stage3,pooled,0,ball_vy,r2,0.04909282922744751,0.01
s5_u_stage3,pooled,0,left_paddle_y,r2,0.067538321018219,0.01
s5_u_stage3,pooled,0,right_paddle_y,r2,0.027492642402648926,0.01
s5_u_stage3,pooled,0,collision_imminent,auc,0.6734320078846607,0.01
s5_u_stage3,pooled,1,ball_x,r2,0.018397927284240723,0.01
s5_u_stage3,pooled,1,ball_y,r2,0.026904582977294922,0.01
s5_u_stage3,pooled,1,ball_vx,r2,0.00554126501083374,0.01
s5_u_stage3,pooled,1,ball_vy,r2,0.015392065048217773,0.01
s5_u_stage3,pooled,1,left_paddle_y,r2,0.025508344173431396,0.01
s5_u_stage3,pooled,1,right_paddle_y,r2,0.011479377746582031,0.01
s5_u_stage3,pooled,1,collision_imminent,auc,0.577634760010945,0.01
s5_u_stage3,pooled,2,ball_x,r2,0.01769918203353882,0.01
s5_u_stage3,pooled,2,ball_y,r2,0.027237236499786377,0.01
s5_u_stage3,pooled,2,ball_vx,r2,0.0023640990257263184,0.01
s5_u_stage3,pooled,2,ball_vy,r2,0.008337676525115967,0.01
s5_u_stage3,pooled,2,left_paddle_y,r2,0.025912046432495117,0.01
s5_u_stage3,pooled,2,right_paddle_y,r2,0.0005595684051513672,0.01
s5_u_stage3,pooled,2,collision_imminent,auc,0.5772368962038945,0.01
