site,repr,sigma_idx,target,metric,value,alpha
s3_mid,pooled,2,left_paddle_y,r2,-0.003157496452331543,100.0
s3_mid,pooled,2,right_paddle_y,r2,-0.0011647939682006836,100.0
s3_mid,pooled,2,collision_imminent,auc,0.5060107130321503,0.01
s3_mid,flat,0,ball_x,r2,-0.015075087547302246,10000.0
s3_mid,flat,0,ball_y,r2,-0.025165081024169922,10000.0
s3_mid,flat,0,ball_vx,r2,-0.02465224266052246,10000.0
s3_mid,flat,0,ball_vy,r2,-0.023684024810791016,10000.0
s3_mid,flat,0,left_paddle_y,r2,-0.02380061149597168,10000.0
s3_mid,flat,0,right_paddle_y,r2,-0.015577077865600586,10000.0
s3_mid,flat,0,collision_imminent,auc,0.5156435100522527,1.0
s3_mid,flat,1,ball_x,r2,-0.01498401165008545,10000.0
s3_mid,flat,1,ball_y,r2,-0.02317333221435547,10000.0
s3_mid,flat,1,ball_vx,r2,-0.020504236221313477,10000.0
s3_mid,flat,1,ball_vy,r2,-0.012673497200012207,10000.0
s3_mid,flat,1,left_paddle_y,r2,-0.017875194549560547,10000.0
s3_mid,flat,1,right_paddle_y,r2,-0.014192938804626465,10000.0
s3_mid,flat,1,collision_imminent,auc,0.5086096775376108,1.0
s3_mid,flat,2,ball_x,r2,-0.012520670890808105,10000.0
s3_mid,flat,2,ball_y,r2,-0.019966959953308105,10000.0
s3_mid,flat,2,ball_vx,r2,-0.017829298973083496,10000.0
s3_mid,flat,2,ball_vy,r2,-0.012974262237548828,10000.0
s3_mid,flat,2,left_paddle_y,r2,-0.01566481590270996,10000.0
s3_mid,flat,2,right_paddle_y,r2,-0.011762261390686035,10000.0
s3_mid,flat,2,collision_imminent,auc,0.5173570807503862,100.0
s4_u_stage1,pooled,0,ball_x,r2,-0.0017518997192382812,100.0
s4_u_stage1,pooled,0,ball_y,r2,-0.001156449317932129,100.0
s4_u_stage1,pooled,0,ball_vx,r2,-0.0015101432800292969,100.0
s4_u_stage1,pooled,0,ball_vy,r2,-0.0012208223342895508,100.0
s4_u_stage1,pooled,0,left_paddle_y,r2,-0.003463268280029297,100.0
s4_u_stage1,pooled,0,right_paddle_y,r2,1.5735626220703125e-05,100.0
s4_u_stage1,pooled,0,collision_imminent,auc,0.5051972201287694,0.01
s4_u_stage1,pooled,1,ball_x,r2,-0.0008695125579833984,100.0
s4_u_stage1,pooled,1,ball_y,r2,-0.001147627830505371,100.0
s4_u_stage1,pooled,1,ball_vx,r2,-0.0008103847503662109,100.0
s4_u_stage1,pooled,1,ball_vy,r2,-0.001217484474182129,100.0
s4_u_stage1,pooled,1,left_paddle_y,r2,-0.001935720443725586,100.0
s4_u_stage1,pooled,1,right_paddle_y,r2,0.0002562999725341797,100.0
s4_u_stage1,pooled,1,collision_imminent,auc,0.5027373990627768,100.0
s4_u_stage1,pooled,2,ball_x,r2,-0.0008494853973388672,100.0
s4_u_stage1,pooled,2,ball_y,r2,-0.0009385347366333008,100.0
s4_u_stage1,pooled,2,ball_vx,r2,-0.0005365610122680664,100.0
s4_u_stage1,pooled,2,ball_vy,r2,-0.0011626482009887695,100.0
s4_u_stage1,pooled,2,left_paddle_y,r2,-0.0012288093566894531,100.0
s4_u_stage1,pooled,2,right_paddle_y,r2,-0.00014448165893554688,100.0
s4_u_stage1,pooled,2,collision_imminent,auc,0.506074917501308,100.0
s5_u_stage3,pooled,0,ball_x,r2,-9.071826934814453e-05,100.0
s5_u_stage3,pooled,0,ball_y,r2,-0.00037801265716552734,100.0
s5_u_stage3,pooled,0,ball_vx,r2,-0.00028634071350097656,100.0
s5_u_stage3,pooled,0,ball_vy,r2,-0.00015306472778320312,100.0
s5_u_stage3,pooled,0,left_paddle_y,r2,-0.00022649765014648438,100.0
s5_u_stage3,pooled,0,right_paddle_y,r2,-0.00041425228118896484,100.0
s5_u_stage3,pooled,0,collision_imminent,auc,0.4793676811715432,0.1
s5_u_stage3,pooled,1,ball_x,r2,0.00013905763626098633,1.0
s5_u_stage3,pooled,1,ball_y,r2,-0.000540614128112793,100.0
s5_u_stage3,pooled,1,ball_vx,r2,-0.0005271434783935547,100.0
s5_u_stage3,pooled,1,ball_vy,r2,0.0005728006362915039,1.0
s5_u_stage3,pooled,1,left_paddle_y,r2,-0.00012946128845214844,100.0
s5_u_stage3,pooled,1,right_paddle_y,r2,6.747245788574219e-05,100.0
s5_u_stage3,pooled,1,collision_imminent,auc,0.4867898798363738,100.0
s5_u_stage3,pooled,2,ball_x,r2,-0.0006206035614013672,100.0
s5_u_stage3,pooled,2,ball_y,r2,-0.0004930496215820312,100.0
s5_u_stage3,pooled,2,ball_vx,r2,-0.0005556344985961914,100.0
s5_u_stage3,pooled,2,ball_vy,r2,0.00020265579223632812,100.0
s5_u_stage3,pooled,2,left_paddle_y,r2,0.0001773238182067871,100.0
s5_u_stage3,pooled,2,right_paddle_y,r2,-6.29425048828125e-05,10.0
s5_u_stage3,pooled,2,collision_imminent,auc,0.5036692752854719,100.0
